Name,Specialty,Location,Education,Residency,Board Certification
Carlos C. Altez,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Andrew Altiveros,Pediatrics,"John H. Stroger, Jr. Hospital",University of Santo Tomas,John H. Stroger Jr. Hospital Fellowship,Pediatrics
Irene S. Aluen Metzner,Internal Medicine,"John H. Stroger, Jr. Hospital",Central University of Venezuela,Rush University/CCHHS Internal Medicine Primary Care,ABIM
Saad Alvi,Internal Medicine,"John H. Stroger, Jr. Hospital","Dow Medical College, Karachi, Pakistan","Louis A. Weiss Memorial Hospital, Chicago IL",ABIM
Tareq Alyousef,Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,John H. Stroger Hospital of Cook County,nil
Amatur Rehman Amarah,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ambika P. Amblee,Endocrinology & Metabolism,"John H. Stroger, Jr. Hospital",nil,nil,nil
Dhara P. Amin,Emergency Medicine,"John H. Stroger, Jr. Hospital",Rush Medical College,Los Angeles County University of Southern California Medical Center,nil
Sheba Ampalloor,Emergency Medicine,Provident Hospital,nil,nil,nil
Araceli Andablo,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Megan E. App,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",Wayne State School of Medicine,Baylor College of Medicine,American Board of Obstetrics and Gynecology
Alamma Arackal,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Alejandra Argueta,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,NCCPA
Jeannie Aschkenasy,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ambarish M Athavale,Nephrology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Corinne E. Atty,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,John H. Stroger Jr. Hospital of Cook County,nil
Elma Augustine,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Priscilla A. Auguston,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Aalok Avinashi,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ali Ayoub,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Mariam S. Aziz,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Meagan O. Bailey,Neurology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ahleah C. Balawender,Correctional Health,"John H. Stroger, Jr. Hospital",nil,nil,nil
Angela D Bales,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Leszek A. Balla,Dentistry,"John H. Stroger, Jr. Hospital",nil,Cook County GP Residency,DDS
Nicole Baltrushes-Hughes,Family Medicine,"John H. Stroger, Jr. Hospital",University of Chicago's Prtizker School of Medicine,Santa Rosa Family Medicine Residency Program,nil
Stephanie Z Baluka,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sonya Bamba,Ophthalmology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Chandrarekha Bandepalli,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sindhura Bandi,Allergy and Immunology,"John H. Stroger, Jr. Hospital",Wright State University Boonshoft School of Medicine,Rush University Medical Center,Internal Medicine and Allergy and Immunology
Jason B. Bang,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital",Anesthesiology - University of Southern California,Anesthesiology - University of Southern California,Board Eligible
Rebecca L. Barchfeld,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Brenda L. Barnes,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,NCCPA
Carmella Barrett-Perry,Dentistry,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago College of Dentistry,University of Illinois at Chicago College of Dentistry,American Board of Pediatric Dentistry
Anastasia Barron,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kumar K. Batra,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Norbert Becker,Ophthalmology,"John H. Stroger, Jr. Hospital",nil,Lutheran General Hospital (Internal Medicine) and Cook County Hospital (Ophthalmology),American Board of Ophthalmology
Michael Bednarz,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elizabeth Berry-Kravis,Child Neurology,"John H. Stroger, Jr. Hospital",University of Chicago,University of Chicago,Neurology with Special Qualifications in Child Neurology
Neha Bhandari,"Critical Care Medicine, Internal Medicine, Pulmonary","John H. Stroger, Jr. Hospital","Lady Hardinge Medical College, Delhi, India",University of Connecticut Health Center,"Internal Medicine, Pulmonary Disease, Critical Care Medicine"
Gifty Bhat,Clinical Genetics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Tapan Bhatt,Emergency Medicine,Provident Hospital,nil,nil,nil
Mondira Bhattacharya,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Lisa A. Biancalana-Marsh,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Andrew G. Birkhead,Family Medicine,"John H. Stroger, Jr. Hospital, Englewood Health Center",Tulane University School of Medicine,University of Illinois at Chicago,Family Medicine
Stephanie R. Black,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rodney Blaney,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kelly A. Bojan,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Katherine A. Bozylinsky,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Marylee A. Braniecki,Dermatopathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jaime Braverman,Pediatric Critical Care,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kimberly S Briney,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Cicely S. Brooks,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Benjamin G. Bruce,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",Stanford University,Brown University,Orthopedics
Shaaista Budhani,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital","University of Nairobi, Kenya",John H. Stroger Jr. Hospital of Cook County,"Pediatric, Neonatal-Perinatal"
Brian J. Buenaventura,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Aleksandra A Bukiej,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Alexa K. Buresh,Physician Assistant,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Marina Burkova,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Mary-Ellen Butler,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Richard W. Byrne,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Breedge M. Cafferty,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Martin F. Cahillane,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kahina Etossi Caldwell,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Stephen Cambalik,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Tania M Campagnoli,Internal Medicine,"John H. Stroger, Jr. Hospital",Universidad Nacional de Asuncion,Rush University Medical Center,Internal Medicine
Sally A. Campbell-Lee,Clinical Pathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elizabeth W. Canelas,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shabana Cano,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sully Cardona,Family Medicine,"John H. Stroger, Jr. Hospital",University of Illinois COM,Northwestern/McGaw Family Medicine,Family Medicine
David Carr,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mark Cartwright,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
John P. Case,"Internal Medicine, Rheumatology","John H. Stroger, Jr. Hospital",Tufts University School of Medicine,Rush University Medical Center,"American Board of Internal Medicine (Rheumatology, Medicine)"
Christian Castillo Curiel,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",UNIBE (Dominican Republic),"Pediatrics at Lincoln Medical Center, Bronx, NY",Pediatrics and Neonatal-Perinatal Medicine Board Certified
Christopher C. Caudill,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
"Benjamin P. Caughlin, MD",Otolaryngology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,"American Board of Facial Plastic and Reconstructive Surgery, and American Board of Otolaryngology Head and Neck Surgery"
Edie Y. Chan,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Chandra P. Chataut,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shweta Chaudhary,Ophthalmology,"John H. Stroger, Jr. Hospital, Community Clinics ACHN",Grant Medical College,Cook County Health,Board Eligible
Vivek Chaudhry,Colon & Rectal Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rohini Chennuri,Anatomic & Clinical Pathology,"John H. Stroger, Jr. Hospital","Gandhi Medical College and Hospital, India",University of Illinois at Chicago,"Anatomic and Clinical Pathology, and Cytopathology"
Neeraj Chhabra,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nikya C. Chillis,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ebele N. Chinwuba,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sophia E. Choi,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elamma D. Chollampel,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Laura Chun,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elizabeth A. Ciennik,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jose R. Cintron,Colon & Rectal Surgery,"John H. Stroger, Jr. Hospital",New York University School of Medicine,"General Surgery Residency: North Shore University / Cornell University, New York; Colon and Rectal Surgery Residency: University of Medicine & Dentistry Of New Jersey, Robert Wood Johnson",General Surgery and Colon and Rectal Surgery
Steven A. Clar,Physical Medicine & Rehabilitation,"John H. Stroger, Jr. Hospital",nil,nil,nil
Laurel M. Clark,Psychiatry,nil,University of Illinois at Chicago,Rush University Medical Center,nil
Peter M. Clarke,Internal Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Medical School,Northwestern Memorial Hospital,American Board of Internal Medicine
Christopher D. Codispoti,Allergy and Immunology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Giselle C. Coelho,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Alina Michel Colon,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
James B. Conant,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Brian P. Cone,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Craig S. Conover,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sean Conrin,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Clarissa M Couch,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jason E. Crane,Clinical Pathology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Richard W. Crowley,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maria C. Cuevas Nunez,Oral and Maxillofacial,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shiny Daniel,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Barbara A. Davis,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Carolyn Davis,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Sherif F. Dawood,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital, Community Clinics ACHN",Cairo University School of Medicine,Cook County Health,American Board of Ophthalmology & American Board of Internal Medicine
Norbert G. De Biase,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Andrew Q. De Funiak,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Chiraag Dharia,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Sadhana Dharmapuri,Adolescent Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Amanda Dhuyvetter,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Marie DiGiacomo,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Laura Doan,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Virginia Dominguez,Dentistry,Arlington Heights Health Center,University of Illinois College of Dentistry (DDS),nil,nil
Matthew E. Doscher,Plastic Surgery,"John H. Stroger, Jr. Hospital",SUNY Downstate College of Medicine,Montefiore Medical Center,Plastic Surgery and Hand Surgery
Jane E. Duda,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rajesh Dudani,Neonatology,"John H. Stroger, Jr. Hospital",B.P. Koirala Institute of Health Sciences,"John H. Stroger, Jr. Hospital of Cook County",Pediatrics and Neonatology
Mark S. Dworkin,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sean Patrick Dyer,Emergency Medicine,"John H. Stroger, Jr. Hospital",Rush Medical College,Cook County Hospital,Emergency Medicine
Katherine El,Physician Assistant,Provident Hospital,nil,nil,nil
Nader M. Eldris,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
"Max R. Emmerling, DDS",Oral & Maxillofacial,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Maryland School of Medicine,University of Maryland Medical Center,nil
Ngozi Emuchay,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,UIC/Advocate Christ Medical Center,nil
Joy C.P. Eneogwe,Adult Nurse Practitioner,Provident Hospital,nil,nil,nil
Grace N. Eneogwe,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Minyuen C. Enger,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",National Taiwan University College of Medicine,"John H. Stroger, Jr. Hospital of Cook County","Neonatal - Perinatal Medicine, Pediatrics"
Patrick K. Ennis,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nathaniel M. Erdman,Optometry,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Chukwuemeka F. Ezike,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Erin C. Farlow,Vascular Surgery,"John H. Stroger, Jr. Hospital",Washington University in St. Louis,"John H. Stroger, Jr. Hospital of Cook County and Rush University Medical Center",General Surgery and Vascular Surgery
Maia S Feigon,Psychology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Jingyang Feng,"Anatomic & Clinical Pathology, Cytopathology","John H. Stroger, Jr. Hospital","Binzhou Medical College, China & Capital University of Medical Sciences, China",Baptist Health System,Anatomic and Clinical Pathology; Cytopathology
Annie Fernandez,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rosaura Fernandez,Emergency Medicine,"John H. Stroger, Jr. Hospital",Rosalind Franklin University of Medicine & Science,nil,nil
Andrea Fischlowitz,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jessica Folk,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ricardo B. Fontes,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Tiffany Forte,Family Medicine,"John H. Stroger, Jr. Hospital, Arlington Heights Health Center",Loyola University Chicago Stritch School of Medicine,West Suburban Medical Center Family Medicine Residency Program,Family Medicine
Lauren E. Foster,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Regeena Francis,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Bethann Freeman,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,NCCPA
Sharon C. Fung,Advanced Public Health Nursing,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maria Therese S. Galang,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Edgardo L. Galvez,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Seema R. Gandhi,Gastroenterology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Rhonda Y. Gans,Family Medicine,John Sengstacke Health Center,Rush Medical College,Rush / Christ Family Practice Residency Program,Family Medicine
Sharad Garbharran,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Marlon Diaz Garcia,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Thomas D. Gast,Diagnostic Radiology,"John H. Stroger, Jr. Hospital",nil,University of Illinois at Chicago,nil
Valeria Gates,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Thomas F. Gavagan,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Abidemi O. Gbotosho,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ayodeji Gbotosho,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nicole M. Geissen,Thoracic and Cardiac Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Reena George,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Susan Eve Gerber,Maternal Fetal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Quraish Ghadiali,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Robert Wood Johnson Medical School - Rutgers University,New York University,American Board of Ophthalmology
Mark E. Godsel,Podiatry,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Deborah Goldstein,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Javier A. Gomez Valencia,Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital","Universidad del Valle, Colombia",John H. Stroger Jr. Hospital of Cook County,"Adult Cardiovascular Disease by the American Board of Internal Medicine (ABIM), Comprehensive adult Echocardiography by the National Board of echocardiography (NBE), Nuclear Cardiology by the Certification Board of Nuclear Cardiology (CBNC), Internal Medicine by the American Board of Internal Medicine (ABIM)"
Michael Gottlieb,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Evan S. Greenbaum,Otolaryngology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Andrew Greiner,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Dara Grennan,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Shweta Gupta,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Leon M. Gussow,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sameera Guttikonda,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Chike B. Gwam,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital","University of Ibadan Medical School, Ibadan, Nigeria","Anesthesiology - Metrohealth Medical Center, Ohio",American Board of Anesthesiology
Ameera Haamid,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago College of Medicine,"John H. Stroger, Jr. Hospital of Cook County",Emergency Medicine
Kristina N. Hajek,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Yaser A Haq,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jacqueline L. Harrison,Colon & Rectal Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Sobia Hassan,Rheumatology,"John H. Stroger, Jr. Hospital",Royal College of Physicians,"Internal Medicine, St. Luke's -Roosevelt Hospital, University Hospital of Columbia University - New York, NY",Rheumatology
Patricia A Heaslip,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
David L. Hinkamp,Occupational Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Michael J. Hoffman,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Rutgers Robert Wood Johnson Medical School,McGaw Medical Center of Northwestern University,Internal Medicine and Infectious Diseases
James Patrick Hoffman,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
M. Christine Holden,Physician Assistant,"John H. Stroger, Jr. Hospital",Midwestern University,nil,"Physician Assistant, Primary Care Boards"
Taemyn Hollis,Pediatric Critical Care,"John H. Stroger, Jr. Hospital",nil,nil,nil
Hadyn M. Hollister,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
John T.B. Houston,Pediatric Urology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jonathan J Howard,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Patricia Hoyos,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ada Huang Lumpkin,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Andrea K. Huber,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,NCCPA
Jessica L. Hwang,Endocrinology & Metabolism,"John H. Stroger, Jr. Hospital",Rush Medical College,University of Chicago,"American Board of Internal Medicine and Endocrinology, Diabetes & Metabolism"
Chukwueloka N. Ikedionwu,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ionut O. Ilie,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Pil Bin Im,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Umair M. Jabbar,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rachel M. Jackson,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ralph F Jackson,Emergency Medicine,Provident Hospital,nil,nil,nil
Ancy C. Jacob,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Neha Jain,Pulmonary Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Supriya Jasuja,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Naresh K. Jegadeesh,Radiation Oncology,"John H. Stroger, Jr. Hospital",Medical College of Georgia,Emory University Hospital,American Board of Radiology
Myrline Jeudy,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jinxing Jiang,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jose L. Jimenez,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Anngell Jones,Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Antony K. Joseph,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital","Gov't. Medical College, Alaphzha, Kerala India",Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Elsy T. Joseph,Adult Psychiatric&Mental Health NP,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kimberly T. Joseph,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kiran Joshi,Family Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,"Illinois Masonic Medical Center, Family Medicine and John Hopkins Hospital, Preventive Medicine",Family Medicine and Preventive Medicine
Christine Jung,Emergency Medicine,"John H. Stroger, Jr. Hospital",Chicago Medical School at Rosalind Franklin University,Boston Medical Center - Emergency Medicine Residency,Emergency Medicine
Daniel J. Kacey,Surgical Critical Care,"John H. Stroger, Jr. Hospital",Loyola Stritch School of Medicine,"Metropolitan Group Hospital Program in Surgery, affiliate of the University of Illinois",General Surgery and Surgical Critical Care
Daniel J. Kaczrowski,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Valerie E. Kalinowski,Pediatric Critical Care,"John H. Stroger, Jr. Hospital",nil,nil,nil
Matthew J. Kaminsky,Surgery,"John H. Stroger, Jr. Hospital",University of Manitoba Medical School,General Surgery University of Manitoba,General Surgery and Surgical Critical Care
Megan R. Kane Towle,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Gary B. Kaniuk,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Usha K. Kartan,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Adai V Karuthalackal,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Caroline Y. Kato,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
David Dimitri Kelner,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
John L. Kennedy,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Fauzia Khan,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Salman Z. Khan,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Marghoob Ahmad Khan,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Manhal H. Khilfeh,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",Salahaddin University,Michigan State University Kalamazoo Center for Medical Studies,"Pediatrics, Neonatal-Prenatal Medicine"
Deborah Kimball,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Amanda S. Kleinman,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
"Pat Knowles, APN-FNP",nil,"John H. Stroger, Jr. Hospital",nil,nil,nil
Patricia A. Knowles,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Thomas M. Komar,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Juleigh Konchak,Family Medicine,nil,nil,nil,nil
