disease,userquery,userquerySyms
Tennis elbow,"
-Pain on the outside of your elbow
-Pain when you lift or bend your arm
-Pain when you grip something
-Tenderness when you touch the outside of your elbow
-Weakness in your arm","pain,outside of your elbow,pain,arm,pain,tenderness,outside of your elbow,weakness,arm"
Epidermolysis bullosa,"
In Epidermolysis bullosa, the skin is very fragile and can tear or blister easily. The blisters can be painful and may become infected. People with Epidermolysis bullosa often have trouble eating because the blisters can make it difficult to swallow.","skin,fragile,tear,blister,b,ep,ider,trouble eating,b"
Encephalitis,"
Symptoms of encephalitis can come on suddenly or develop over several days. They include:

* Fever
* Headache
* Seizures
* Confusion
* Drowsiness
* Personality changes
* Hallucinations
* Nausea and vomiting
* Sensitivity to light","encephalitis,fever,headache,seizures,confusion,dr,owsiness,personality changes,hallucinations,nausea,vomiting"
Tension headache,"
headache, neck pain, shoulder pain, jaw pain","headache,neck,pain,shoulder,pain,jaw,pain"
Heart murmurs,"
The symptoms of a heart murmur may include:

-A whooshing or swishing sound during your heartbeat (aortic stenosis)
-Heart palpitations
-Shortness of breath
-Fatigue
-Dizziness or lightheadedness
-Chest pain","heart murmur,who,ng,swishing sound,heart,palpitations,shortness of breath,fatigue,di,zziness,lightheadedness,chest,pain"
Atopic dermatitis (eczema),"
Atopic dermatitis is a chronic, relapsing, inflammatory skin disorder characterized by dry skin, itching, and rashes. The most common symptom is itching, which can be severe. Other symptoms include dry skin, red or brown patches, and rashes.","atop,dermatitis,skin disorder,dry,rash,it,dry"
Type 2 diabetes in children,"
There are a few things to look out for when trying to determine if a child has Type 2 diabetes. 

-A child who is excessively thirsty and/or is always running to the bathroom to urinate
-A child who is always hungry, even after eating a meal
-A child who has unexplained weight loss
-A child who feels tired all the time and has trouble concentrating
-A child who has blurred vision
-A child who gets infections or wounds that heal","weight loss,tired,trouble concentrating,blurred vision,infections,wounds"
High blood pressure (hypertension),"
The symptoms of high blood pressure (hypertension) can include:

* headaches
* dizziness
* nausea
* shortness of breath
* chest pain","high,hyper,headaches,di,zziness,nausea,shortness of breath,chest,pain"
Benign paroxysmal positional vertigo (BPPV),"
Dizziness, lightheadedness, nausea, vomiting, and headache.",lighthead
Complex regional pain syndrome,"
The symptoms of Complex regional pain syndrome (CRPS) include:

* burning or aching pain that is out of proportion to the original injury
* allodynia (pain from stimuli that does not normally provoke pain)
* hyperalgesia (increased pain from stimuli that normally provoke pain)
* edema (swelling)
* changes in skin color and temperature
* changes in nail and hair growth
* joint stiffness and motor dysfunction","pain,cr,pain,allodynia,pain,hyperal,gesia,pain,ed,ema,swelling,nail,and hair,joint,stiffness,motor dysfunction"
Esophageal cancer,"
• Difficulty swallowing (dysphagia)
• Weight loss
• Chest pain
• Coughing up blood
• Bone pain","difficulty swallowing,d,pha,weight loss,chest,pain,coughing up blood,bone,pain"
Ebstein anomaly,"
The main symptom of Ebstein anomaly is heart failure. Other symptoms may include shortness of breath, chest pain, and irregular heartbeat.","shortness of breath,irregular"
Ovarian cysts,"
- Pelvic pain
- Abdominal bloating
- Difficulty urinating
- Pain during sex","pelvic,pain,abdominal,b,lo,ating,difficulty,urinating,pain"
Glomerulonephritis,"
-fatigue
-weakness
-loss of appetite
-weight loss
-nausea and vomiting
-confusion and lethargy
-shortness of breath
-swelling in the legs, ankles and feet
-pain in the kidneys","fatigue,weakness,loss of appetite,weight loss,nausea,vomiting,confusion,lethargy,shortness of breath,swelling,legs,ankles,feet,pain,kidneys"
Small bowel cancer,"
The symptoms of small bowel cancer can include:

-Abdominal pain
-Changes in bowel habits, such as diarrhea or constipation
-Unexplained weight loss
-Fatigue
-Blood in the stool
-Anemia","small bowel,abdominal,pain,bow,dia,rrhea,consti,pation,weight loss,fatigue,blood,stool,an,emia"
Drug addiction (substance use disorder),"
- feeling the need to use the drug regularly, even in situations where it is not appropriate
- continuing to use the drug even though it is causing problems in your life
- needing more and more of the drug to get the desired effect
- feeling withdrawal symptoms when you stop using the drug",withdrawal symptoms
Sarcoma,"
-unexplained pain or swelling in the arms or legs
-a lump or mass that can be felt under the skin
-numbness or weakness in the affected area
-abnormal bleeding or discharge from a wound that won't heal
-a change in the size, shape, color, or texture of a mole","pain,swelling,arms,legs,lump,mass,under the skin,numbness,weakness,affected area,bleeding,discharge"
Gingivitis,"
-Swollen and inflamed gums
-Gums that bleed easily
-Bad breath
-Gum recession
-Loose teeth","swollen,inflamed,gums,gums,breath,gum,recession,loose teeth"
Gallbladder cancer,"
Some symptoms of gallbladder cancer may include:

-Jaundice (yellowing of the skin and whites of the eyes)
-Abdominal pain
-Nausea and vomiting
-Weight loss
-Loss of appetite
-Fatigue","gall,dder,ja,und,ice,yellow,abdominal,pain,nausea,vomiting,weight loss loss of appetite,fatigue"
Acromegaly,"
The symptoms of acromegaly vary depending on how much excess growth hormone the person has, but often includelarge hands and feet, thickening of the skin, vision problems, and joint pain.","lar,ge,hands,thick"
Desmoid tumors,"
The symptoms of desmoid tumors may vary depending on the size, location and rate of growth of the tumor. Many people with desmoid tumors do not experience any symptoms and the tumor is found incidentally during imaging for another condition. When symptoms are present, they may include:

-A palpable mass
-Abdominal pain or bloating
-Constipation or change in bowel habits
-Fatigue
-Weight loss
-Bone pain (if the tumor has spread to","des,des,symptoms,tumor,mass,abdominal,pain,blo,ating constipation,change in bowel habits,fatigue,weight loss,bone,pain"
Prostate cancer,"
There are several symptoms associated with prostate cancer, but the most common symptom is difficulty urinating. Other symptoms may include pain or burning during urination, blood in the urine or semen, and persistent pain in the lower back, hips, or thighs. In some cases, prostate cancer may cause no symptoms at all.","prostate,pain,pain,back,prostate"
Addison's disease,"
The most common symptom of Addison's disease is fatigue. Other symptoms may include weight loss, weakness, low blood pressure, darkening of the skin, and low blood sugar.","addison ' s disease,weight loss,darkening"
Kawasaki disease,"
-Fever
-Rash
-Enlarged lymph nodes
-Irritability
- joint pain
- inflammation of the lining of the mouth, nose, and throat","fever,rash,enlarged,l,ymph nodes,ir,rita,bility,joint,pain,inflammation,lining,mouth,nose,and throat"
Testicular cancer,"
-A lump in either testicle 
-A feeling of heaviness in the scrotum 
-A dull ache in the abdomen or groin 
-A sudden collection of fluid in the scrotum 
-Pain or discomfort in a testicle or the scrotum 
-Enlargement or tenderness of the breasts","lump,testicle,heaviness,scrotum,ache,abdomen,groin,of,fluid,scrotum,pain,discomfort,testicle,scrotum,en,lar,gement,tenderness,breasts"
Chronic sinusitis,"
There are many potential symptoms of chronic sinusitis. They may include: 

-nasal congestion
-nasal discharge
-facial pain or pressure
-reduced sense of smell
-reduced sense of taste
-dental pain
-ear pain
-facial swelling
-headache","nasal congestion,nasal discharge,facial,pain,pressure,sense of smell,sense of taste,dental,pain,ear,pain,facial,swelling,headache"
Hypercalcemia,"
-muscle weakness
-abdominal pain
-nausea
-confusion
-fatigue
-excessive thirst
-frequent urination","muscle weakness,abdominal,pain,nausea,confusion,fatigue,thirst,ur"
Buerger's disease,"
The symptoms of Buerger's disease include:

- pain in the feet or legs when walking or at rest
- cramping in the leg muscles
- numbness or tingling in the feet or legs
- weakness in the leg muscles
- ulcers on the toes, feet, or legs
- gangrene of the toes, feet, or legs","bu,erger ' s disease,pain,feet,legs,cr,amp,ing,leg muscles,numbness,tingling,feet,legs,weakness,leg muscles,ul,cer,legs,gang,ren,e,legs"
Broken wrist,"
symptoms of a broken wrist include: pain, swelling, bruising, and deformity.",wrist
Retinal diseases,"
Retinal diseases can cause a wide range of symptoms, including:

-Blurry vision
-Floaters (spots in your vision)
-Fluctuations in vision
-Holes or tears in the retina
-Increased sensitivity to light
-Night blindness
-Shadowed vision","retinal diseases,blurry vision,floaters,spots,fluctuations in vision holes,tears,re,tina,vision"
Nasopharyngeal carcinoma,"
The most common symptom of nasopharyngeal carcinoma is a lump in the neck. Other symptoms may include a blocked nose, persistent sore throat, trouble swallowing, and ear pain.","nas,haryngeal,carcinoma,lump,blocked,sore"
Burning mouth syndrome,"
The symptoms of burning mouth syndrome include a burning sensation in the mouth that is not relieved by drinking fluids or eating. Other symptoms may include a dry mouth, a metallic taste in the mouth, and oral pain.","burning,burning sensation,mouth,dry,metallic taste,oral"
Cervical dystonia,"
Cervical dystonia is a neurological disorder that causes severe muscle spasms and contractions in the neck and shoulders. The symptoms vary from person to person, but can include pain, stiffness, and involuntary movements of the head and neck.","cervical,d,ystonia,neurological disorder,muscle,spasms,contractions,neck,stiff,involuntary movements"
IgA nephropathy (Berger's disease),"
There are a variety of symptoms associated with IgA nephropathy, also known as Berger's disease. They can range from mild to severe, and may include:

-Foamy urine
-Swelling in the hands, feet, ankles, or legs
-High blood pressure
-Fatigue
-Muscle cramps
-Headaches
-Nosebleeds
-Blood in the urine","iga nephropathy,berger ' s disease,foamy,urine,swelling,feet,ankles,legs,high blood pressure,fatigue,muscle,cramps,headache,nose,bleed,blood"
Intestinal obstruction,"
Intestinal obstruction is a blockage of the normal flow of contents through the intestines. It can be partial or complete, and it can be temporary or permanent. Symptoms may include abdominal pain, bloating, vomiting, and constipation.","int,obstruction,abdominal,con"
Male infertility,"
Symptoms of male infertility are often nonspecific and can be caused by a variety of conditions. They may include:

-A reduced interest in sex
-Erectile dysfunction, or the inability to sustain an erection
-Problems with ejaculation, including premature, delayed, or absent ejaculation
-Pain during ejaculation
-A small volume of semen during ejaculation
-A family history of infertility","inability to sustain,erection,eja,cula,tion,pain"
Actinic keratosis,"
-A rough, scaly, or crusted patch on the skin that is usually red, pink, or salmon-colored
-A lesion that is tender, itching, or burning
-A lesion that bleeds easily
-A lesion that is larger than a quarter-inch in diameter","skin,les,les,les,ion"
Plantar fasciitis,"
-Pain in the heel or arch of the foot
-Swelling in the foot
-Stiffness in the foot
-Difficulty walking","pain,heel,arch of the foot,swelling,foot,stiff,ness,foot,difficulty"
Irritable bowel syndrome,"
The symptoms of irritable bowel syndrome (IBS) can vary from person to person. They can range from mild to severe. The most common symptoms include:

• Abdominal pain or cramping
• Bloating
• Diarrhea
• Constipation
• Mucus in the stool","ir,ritable bowel syndrome,(,ibs,abdominal,pain,cr,amp,ing,b,lo,ating,dia,rr,hea,constipation,stool"
Melanoma,"
-A mole that changes in color, size, or shape
-A mole that bleeds or itches
-A mole that has irregular borders
-A mole that is larger than a pencil eraser","mole,in,shape,bleeds,it,ches"
Knee bursitis,"
The symptoms of knee bursitis may include:

* Pain in the affected knee
* Swelling in the affected knee
* Warmth around the affected knee
* Redness around the affected knee
* Difficulty moving the affected knee","knee,bu,rsitis,pain,knee,swelling,knee,warmth,knee,redness,knee,difficulty,moving,knee"
Small vessel disease,"
Small vessel disease typically does not cause any symptoms. If symptoms do occur, they are usually related to problems with blood flow, such as:

-coldness in the hands and feet
-numbness or tingling in the hands and feet
-pain in the legs when walking (claudication)
-ulcers on the toes or feet
-erectile dysfunction","small vessel disease,symptoms,coldness,hands,feet,numbness,tingling,hands,feet,pain,legs,ulcer,toes,feet,erectile dysfunction"
Knee pain,"
 symptoms of knee pain can vary depending on the cause of the pain. However, common symptoms of knee pain include:

-A dull or achy feeling in the knee
-Swelling or fluid retention in the knee
-Stiffness or decreased range of motion in the knee
-Redness or warmth in the knee
-Weakness or instability in the knee
-Popping or crunching sounds when moving the knee
-A sensation of grinding when moving the knee","knee,pain,knee,pain,hy,knee,swelling,fluid retention,knee,stiffness,decreased range of motion,knee,redness,warmth,knee,weakness,instability,knee,popping,crunching sounds,knee,grinding,knee"
Cervical cancer,"
The most common symptom of cervical cancer is abnormal vaginal bleeding, which may occur during or after sexual intercourse. Other symptoms may include: 
-vaginal discharge that is heavy and has a foul odor
-pelvic pain or pain during sexual intercourse
-bleeding from the rectum or blood in the stool
-weight loss
-fatigue","cervical,va,ginal,ginal,pe,l,vic,pain,pain,bleeding,rectum,blood,stool,weight loss,fatigue"
Child abuse,"
Warning signs of child abuse and neglect can vary by age. They may also vary depending on whether the abuse is physical, emotional, or sexual.

In infants and very young children, warning signs of abuse and neglect may include:

* not gaining weight or growing as expected
* bruises, cuts, or burns that are not explained
* broken bones or fractures that are not accidental
* repeated episodes of vomiting or diarrhea
* behavior that indicates fear or anxiety, such as c","gaining weight,burns,broken bones,fractures,vomiting,dia,rr,hea"
Bipolar disorder,"
There are four main types of symptoms associated with bipolar disorder:

1. Depressive episodes: These episodes are characterized by feelings of sadness, emptiness, hopelessness, and low energy levels. Individuals may also experience changes in sleep patterns, appetite, and weight.

2. Manic episodes: Manic episodes are characterized by an abnormally elevated mood, hyperactivity, impulsivity, and often reckless behavior.

3. Mixed episodes: Mixed episodes contain features of both depressive and","bipolar,de,pressive,low,changes in,manic,manic,imp,de"
Dermatomyositis,"
Symptoms of dermatomyositis can include:

• Muscle weakness, especially in the upper arms and thighs
• Muscle pain or tenderness
• Fatigue
• Joint pain or stiffness
• Fever
• Weight loss
• Raynaud's phenomenon (a condition that causes the fingers and toes to turn white or blue when exposed to cold temperatures)
• Skin rashes, which can be mild or severe","der,mat,omyositis,muscle,upper arms,thighs,muscle,pain,tenderness,fatigue,joint,pain,stiffness,fever,weight loss,raynaud ' s phenomenon,fingers,toes,skin,rash"
Lyme disease,"
Symptoms of Lyme disease may include fever, headache, fatigue, and a characteristic bull's-eye rash. If untreated, Lyme disease can spread to the joints, heart, and nervous system.","l,bull ' s eye"
Age spots (liver spots),"
-Dark or black patches on the skin
-Patches are usually found on the face, hands, shoulders, and arms
-Patches can be any size
-Skin may be itchy or sore","arms,skin,it,chy,sore"
Angina,"
The main symptom of angina is chest pain. The pain may feel like a squeezing, crushing, or burning sensation in the chest. It may also feel like pain or discomfort in the shoulders, arms, neck, jaw, or back. Angina is often described as feeling like indigestion.","chest,pain,pain,discomfort,ang"
Prediabetes,"
Some symptoms of prediabetes are:

- having a family history of type 2 diabetes
- being overweight or obese
- being physically active less than 3 times per week
- having high blood pressure
- having a fasting blood sugar level of 100–125 mg/dl
- having a hemoglobin A1c level of 5.7–6.4 percent","prediabetes,diabetes,high"
Morton's neuroma,"
The symptoms of Morton's neuroma include pain, burning, tingling, and numbness in the foot. The pain is often worse when wearing shoes or standing for long periods of time.","ma,numb,pain"
Type 1 diabetes,"
Type 1 diabetes symptoms can develop suddenly and quickly. They include:

•	Increased thirst
•	Frequent urination
•	Extreme hunger
•	Weight loss
•	Fatigue
•	Blurred vision 
•	Irritability","type 1 diabetes symptoms,thirst,ur,ination,hunger,weight loss,fatigue,blurred vision,ir,ritability"
Pancreatic cysts,"
-Abdominal pain
-Weight loss
-Jaundice
-Fatigue
-Nausea","abdominal,pain,weight loss,ja,undice,fatigue,nausea"
Cold urticaria,"
The symptoms of Cold urticaria are usually skin reactions, such as hives or welts, and swelling of the affected area. The reaction usually occurs within minutes after exposure to the cold and lasts for a few hours. In more severe cases, the reaction can last for days or weeks.","cold,hives,swelling"
Sprained ankle,"
The symptoms of a sprained ankle can include:

– Pain in the ankle, often severe

– Swelling in the ankle

– Difficulty walking or bearing weight on the affected ankle

– Bruising in the area around the ankle","sp,rained,ankle,pain,swelling,ankle,difficulty,weight,ankle,br,uising,ankle"
Atrial septal defect (ASD),"
The symptoms of atrial septal defect (ASD) vary depending on the size of the defect. Some people with ASD never have any symptoms. When present, symptoms may include shortness of breath, fatigue, and heart palpitations.","atrial septal defect,asd,asd,shortness of breath"
Meralgia paresthetica,"
tingling, numbness, or burning sensation in the outer thigh",outer thigh
Corticobasal degeneration (corticobasal syndrome),"
Corticobasal degeneration (corticobasal syndrome) is a rare, progressive neurological disorder characterized by the deterioration of certain nerve cells in the brain. Early symptoms may include problems with movement and coordination, as well as changes in sensation or cognition. As the disease progresses, patients may experience muscle weakness, rigidity, and tremors. Ultimately, corticobasal degeneration can lead to paralysis and loss of speech. There is no known cure for cortic","degeneration,co,deterioration,changes,tremor,paralysis,co,rti,c"
Cleft lip and cleft palate,"
The most common symptom of cleft lip and cleft palate is a gap in the upper lip. This gap can range from a small slit to a large opening that extends into the nose. Other symptoms may include a deformed or misshapen nose, difficulty breathing, and problems eating or speaking.","cl,cl,eft,palate,gap,def"
Intracranial hematoma,"
Intracranial hematoma can cause a wide range of symptoms depending on the size and location of the bleed. Symptoms may come on suddenly or develop gradually over time.

Common symptoms include:

- headache
- dizziness
- nausea and vomiting
- confusion
- drowsiness
- seizures
- paralysis or weakness on one side of the body","intracranial,hem,atoma,symptoms,symptoms,headache,di,zziness,nausea,vomiting,confusion,dr,owsiness,seizures,paralysis,weakness,one side of the body"
Colon cancer,"
The most common symptom of colon cancer is bleeding from the rectum. Other symptoms may include a change in bowel habits, such as diarrhea or constipation, or a feeling that the bowel does not empty completely. Other symptoms may include abdominal pain, bloating, and weight loss.","rec,abdominal"
Creutzfeldt,"
The symptoms of Creutzfeldt-Jakob disease (CJD) vary depending on how quickly the disease progresses. Early symptoms may include depression, anxiety, personality changes, and impaired thinking. As the disease progresses, symptoms may include impaired vision, muscle twitches, jerky movements, and seizures. In the late stages of the disease, patients may become bedridden and experience total mental deterioration. Death typically occurs within four to six months after onset of symptoms.","cr,eu,tzfeldt jakob disease,c,j,d,impaired vision,muscle twitches,jerky movements,bed,rid,den"
Multiple sclerosis,"
There is no one answer to this question as each person experiences different symptoms. Some common symptoms include fatigue, numbness or tingling in the extremities, muscle weakness, difficulty with coordination and balance, and problems with vision.","numbness,tingling,ex,mities,coordination"
Costochondritis,"
The main symptom of costochondritis is chest pain. The pain is often described as sharp, aching, or burning. It may be worse with deep breathing, coughing, or laughing. The pain may also spread to your back or shoulder.","chest,pain,back"
Spinal cord tumor,"
-neck or back pain that gets worse over time
-numbness, weakness, or tingling in the legs
-loss of bowel or bladder control
-changes in sexual function
-difficulty walking","neck,back,pain,tingling,legs,loss of,difficulty walking"
Heart arrhythmia,"
The symptoms of heart arrhythmia can vary depending on the type of arrhythmia. Some arrhythmias, such as supraventricular tachycardia, can cause a rapid heart rate and palpitations. Other arrhythmias, such as bradycardia, can cause a slow heart rate and fatigue.","heart,pal"
Depression (major depressive disorder),"
The symptoms of major depressive disorder can vary from person to person. They can also vary in severity and duration.

Common symptoms include:

Persistent feelings of sadness, emptiness, or hopelessness
Angry outbursts, irritability, or frustration, even over small matters
Loss of interest or pleasure in most or all normal activities, such as sex, hobbies, or sports
Sleep disturbances, such as insomnia or sleeping too much
Tiredness and lack of energy","major depressive disorder,hopelessness,angry,loss of interest,pleasure,ins,om,too much,tiredness,lack of energy"
Rectal cancer,"
Rectal cancer may cause no symptoms at all. But if it does, the most common symptom is bleeding from the rectum, especially when having a bowel movement. Other symptoms may include:

•    A change in bowel habits, such as diarrhea, constipation, or feeling that the bowel does not empty completely
•    Stools that are narrower than usual
•    Blood in the stool that is either bright red or very dark
•    Cramping or pain in the lower","rectal,rec,bow,stool,cr,amping,pain"
Tachycardia,"
Tachycardia is a condition in which the heart beats faster than normal. The symptoms of tachycardia can include palpitations, lightheadedness, shortness of breath, and chest pain.","tachy,cardia,tachycard,ia,palpit,lightheadedness,shortness of breath,chest"
Psoriatic arthritis,"
There is no one definitive answer to this question as the symptoms of psoriatic arthritis can vary greatly from person to person. However, some common symptoms associated with the condition include joint pain, stiffness and inflammation; fatigue; and skin and nail changes.","ps,arthritis,symptoms,joint,stiff,skin"
De Quervain tenosynovitis,"
-Pain or tenderness at the base of the thumb
-Swelling over the tendons on the thumb side of your wrist
-Stiffness or a “catching” sensation when you move your thumb
-Difficulty grasping or holding objects
-A sensation that your thumb is “locked in place”","pain,tenderness,base of the thumb,swelling,tendons,the,thumb,your wrist,stiff,ness,sensation"
Gaucher disease,"
Some common symptoms of Gaucher disease include easy bruising, fatigue, and bone pain.","gaucher,bone"
Carcinoma of unknown primary,"
The symptoms of carcinoma of unknown primary can vary depending on where the cancer is located in the body. However, common symptoms may include fatigue, weight loss, and new lumps or masses.","car,cinoma,lump"
Type 1 diabetes in children,"
Type 1 diabetes in children is often characterized by the sudden onset of symptoms. The most common symptoms include:

• increased thirst
• increased urination
• fatigue or irritability
• weight loss despite increased appetite
• blurred vision","type 1 diabetes,thirst,urination,fatigue,ir,ritability,weight loss,appetite,blurred vision"
Ovarian cancer,"
-pelvic pain
-abdominal bloating
-profuse vaginal bleeding
-weight loss
-nausea and vomiting","pelvic,pain,abdominal,b,vaginal,bleeding,weight loss,nausea,vomiting"
Eye melanoma,"
There are several symptoms associated with eye melanoma, including:

- blurred vision
- changes in the appearance of the iris
- dark spots on the iris
- increased sensitivity to light
- redness or swelling of the eye","eye,blurred vision changes,of the iris,dark spots,iris,to light redness,swelling,eye"
Morphea,"
The symptoms of morphea include hardened, discolored patches of skin that are often slightly raised. The patches can appear on any area of the body, but most often develop on the trunk, arms, and legs. Morphea can also affect the hair, nails, and muscles beneath the affected skin. In severe cases, the patches of hardened skin can fuse together, causing deformities.",skin
Desmoplastic small round cell tumors,"
-Abdominal pain
-Weight loss
-Fever
-Increased blood calcium levels
-Increased blood sugar levels
-Anemia
-Thrombocytopenia","abdominal,pain,weight loss fever,an,emia,th,rom,bocytopenia"
Fecal incontinence,"
-inability to control bowel movements
-leakage of stool
-constipation
-rectal pain
-rectal bleeding","rectal,pain,rectal,bleeding"
Seizures,"
 Symptoms of seizures can vary depending on the type of seizure. Many times, people with seizures experience an aura, or a warning, before the seizure that lets them know one is about to happen. Other symptoms may include: 

-uncontrollable shaking 
-loss of consciousness 
-confusion 
- staring blankly 
- loss of muscle control 
- drooling or frothing at the mouth 
- tongue biting 
- urinary incont","seizures,seizures,seizure,shaking loss of consciousness,confusion,loss of muscle control,drooling,frothing,mouth,tongue,ur,inary inc,ont"
Gout,"
There are several symptoms of gout, but the most common is a sudden, severe attack of pain, tenderness, redness, warmth and swelling in a joint. The most commonly affected joint is the big toe. Other symptoms can include limping, joint stiffness and decreased range of motion.","swelling,limp,joint,stiff"
Heart attack,"
-pain or discomfort in the jaw, neck, or back
-pain or discomfort in the arm or shoulder
-shortness of breath
-nausea
-lightheadedness
-cold sweats","pain,discomfort,neck,back,pain,discomfort,arm,shoulder,shortness of breath,nausea,lightheadedness,cold sweats"
Broken arm,"
A broken arm may cause the following symptoms:

-Severe pain in the arm
-Swelling and bruising in the arm
-Tenderness or numbness in the arm
-Deformity in the arm
-Difficulty moving the arm","broken,arm,pain,arm,swelling,br,uising,arm,tenderness,numbness,arm,def,or,arm,difficulty,moving,arm"
Sun allergy,"
There is no one definitive answer to this question as everyone may experience different symptoms when allergic to the sun. However, some common symptoms may include: redness, itchiness, swelling, hives, and blisters.","symptoms,red"
Small bowel prolapse (enterocele),"
Small bowel prolapse (enterocele) is a condition in which the small intestine bulges through a weakness in the abdominal wall. Symptoms may include abdominal pain, bloating, and changes in bowel movements. Treatment typically involves surgery to repair the abdominal wall.","lapse,small,abdominal,abdominal,changes,abdominal"
Nearsightedness,"
Nearsightedness, or myopia, is a refractive error in the eye. It occurs when the eye over-focuses light on the retina, resulting in blurry vision for distant objects. Common symptoms of myopia include difficulty reading street signs and road markings, and needing to sit closer to the television or cinema screen.","nearsightedness,my,op,blurry vision,my,op"
Pediatric brain tumors,"
The symptoms of a brain tumor vary depending on the size and location of the tumor. However, common symptoms of brain tumors in children include:

-Headaches
-Nausea and vomiting
-Fatigue
-Vision problems
-Seizures
-Personality changes","brain,brain,headaches,nausea,vomiting,fatigue vision problems,seizures,personality changes"
Swollen lymph nodes,"
The most common symptom of swollen lymph nodes is a feeling of swelling, tightness, or pain in the area. This can often be accompanied by fever, chills, and general body aches. In some cases, the lymph nodes may also produce excess fluids that can lead to rashes or skin infections.","swollen,l,nodes,swelling,tight,pain,ache,l,ym,fluids,rash"
Rheumatoid arthritis,"
There is no one definitive answer to this question as everyone experiences different symptoms of rheumatoid arthritis (RA). However, some common symptoms reported by people with RA include fatigue, joint pain and stiffness, loss of appetite, and weight loss. Additionally, people with RA may also experience fever, anemia, and lymphadenopathy.","rheumatoid arthritis,ra,symptoms,ra,fatigue,joint,pain,stiff,loss of appetite,ra"
Achilles tendinitis,"
Achilles tendinitis is a condition characterized by inflammation of the Achilles tendon, the large tendon connecting the muscles of the calf to the heel bone. Symptoms of Achilles tendinitis include pain and stiffness in the back of the leg, difficulty walking, and swelling.","achilles tendinitis,inflammation,achilles,achilles tendinitis,pain,stiffness,back"
