disease,symptoms,specialties
Addison's disease,"depression,behavioral symptoms,muscle,joint,pains,weight loss,decreased appetite,fatigue,salt craving,body,hair loss,sexual dysfunction,h,ypog,lycemia,fainting,irritability,abdominal,pain,darkening,skin,diarrhea,vomiting,symptoms",Endocrinology
Kawasaki disease,"skin,palms,hands,soles of the,peeling of skin,fingers,toes,vomiting,enlarged,l,ymph node,neck,dry,cracked,lips,tongue,joint,pain,rash,main part of the body,genital area,diarr,hea,eyes,ir,ritability,abdominal,pain","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Testicular cancer,"en,lar,gement,tenderness,breast,pain,discomfort,testicle,scrotum,back,pain,swelling,scrotum,lump,swelling,testicle,testicular,lump,ache,lower belly,groin,test,lump,swelling,lump,testicle,groin,testicular cancer,heaviness,scrotum","Radiation Oncology,Urology,Pediatric Urology,Laboratory Medicine and Pathology,Oncology (Medical),Radiology"
Chronic sinusitis,"pain,tenderness,swelling,nose,forehead,discharge,nose,nose,difficulty breathing,your nose,nasal,inflammation,reduced,of smell,fatigue,drainage,back of the throat,ear,pain,headache,aching,upper jaw,teeth,cough,throat,clearing,bad breath,sore,throat","Otolaryngology (ENT)/Head and Neck Surgery,Allergic Diseases,Pediatric Otolaryngology"
Hypercalcemia,"hyper,calce,mia,stomach,vomiting,con,pati,hyper,calcemia,lethargy,fatigue,blood,pain,hyper,cal,cemia,pal,pitations,kidney,thirst",Endocrinology
Buerger's disease,"fingers,toes,pale,cold,inflammation,vein,below the skin ' s surface,open,sores,fingers,tingling,numbness,hands,pain,go,legs,feet,arms,pain,hands,feet,hands","Vascular centers,Vascular and Endovascular Surgery,Cardiovascular Medicine,Cardiovascular Surgery,Plastic and Reconstructive Surgery"
Broken wrist,"wrist,tenderness,swelling,pain,hand,wrist","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Retinal diseases,"lost vision,blurred,defects,side vision,specks,cobwebs",Ophthalmology
Nasopharyngeal carcinoma,"nose,nasal congestion,ringing in your,ears,hearing loss,headaches,ear,infections,blood,saliva,lump,neck,swollen,lymph node,sore,throat","Head and Neck Cancer Center,Radiation Oncology,Oncology (Medical)"
Burning mouth syndrome,"loss of taste,wake up,discomfort,worse,sc,alding sensation,lips,gum,palate,throat,whole mouth,taste changes,numbness,mouth,dry mouth,thirst","Otolaryngology (ENT)/Head and Neck Surgery,Dermatology"
Cervical dystonia,"chin,shoulder,ear,shoulder,chin,chin","Physical Medicine and Rehabilitation,Neurology"
IgA nephropathy (Berger's disease),"swelling,ed,ema,hands,feet,pain,one or,both sides of your back below your ribs,foam,y,urine,protein leaking,urine,proteinuria,upper respiratory,infection,urine,red blood cells","Nephrology and Hypertension,Transplant Center"
Intestinal obstruction,"vomiting,swelling,abdomen,cr,amp,y,abdominal,pain,loss of appetite,inability to have a bowel movement,constipation","Pediatric Surgery,Gastroenterology and Hepatology"
Male infertility,"pain,swelling,lump,testicle area,facial,body,ho,abnormality,ejaculation,fluid,erection,erect,respiratory infections,g,comast,inability to smell","Urology,Endocrinology"
Actinic keratosis,"it,bump,the,top layer of,skin,bumps,areas,head,neck,hands,forearms",Dermatology
Plantar fasciitis,"plantar fasciitis,pain,bottom of,your foot,pain","Physical Medicine and Rehabilitation,Sports Medicine"
Irritable bowel syndrome,"abdominal,pain,cr,amping,b,ating,bow,ib,digest,intestines,contractions,con,pate,ibs,digest,gas,swelling,bow,syndrome,bowel movement",Gastroenterology and Hepatology
Intestinal ischemia,,"Surgery,Gastroenterology and Hepatology,Vascular centers,Vascular and Endovascular Surgery"
Melanoma,"skin,mel,anoma,mel,anoma,melanoma,melanoma,mel,ano","Otolaryngology (ENT)/Head and Neck Surgery,Plastic and Reconstructive Surgery,Radiation Oncology,Surgical Oncology and Endocrine Surgery in Arizona,Head and Neck Cancer Center,CAR-T Cell Therapy Program,Oncology (Medical),Dermatology,Breast and Melanoma Surgical Oncology"
Knee bursitis,"knee,swollen,pain,knee,symptoms,knee,bu,friction,irritation,bursa",Physical Medicine and Rehabilitation
Small vessel disease,"shortness of breath,chest,squeezing,discomfort,ang,activity,stress,discomfort,back,abdomen,chest,pain,tiredness,lack of energy",Cardiovascular Medicine
HIV/AIDS,,"Transplant Center,Infectious Diseases,HIV Clinic,Kidney Transplant Program"
Knee pain,"swelling,stiffness,red,warmth,crunching noises,inability to,straighten,knee,weakness,instability","Physical Medicine and Rehabilitation,Sports Medicine"
Cervical cancer,"fall,ut,cervix,va,gina,va,ginal,va,ginal,odor,pe,l,vic,pain,pain,female,va,ginal,bleeding","Oncology (Medical),Radiation Oncology,Obstetrics and Gynecology,Proton Beam Therapy Program"
Child abuse,"sleep problems,nightmares,hostility,hyperactivity,loss of self - confidence,rebellious,defiant behavior,self","Mayo Center for Safe and Healthy Children and Adolescents,Children's Center,Pediatric and Adolescent Medicine"
Bipolar disorder,"hypomania symptoms,depressive symptoms,bipolar and,disorders,shing ' s disease,multiple sclerosis,bipolar,mani,c episode,major de,mania,bipolar,major depressive episode,h,omanic,manic",Psychiatry and Psychology
Dermatomyositis,"rash,face,eyelids,chest,muscle,weakness,weakness","Neurology,Rheumatology,Dermatology"
Lyme disease,"lyme disease,rash,lyme disease,rash,lyme disease,bull ' s,eye,rash",Neurology
Age spots (liver spots),"age spots,hand,ation,skin,backs of hands,tops of feet,face,shoulders,upper back,skin,spec,back of the hand,age,hand","Center for Aesthetic Medicine & Surgery in Rochester,Cosmetic Center in Arizona,Dermatology"
Angina,"shortness of breath,heart,attack,sweating,dizziness pressure,fullness,fatigue,heart attack,heart,fatty deposits,plaques,plaque,heart,heart attack,squeezing,nausea","Pain Medicine,Cardiovascular Medicine,Cardiovascular Surgery"
Prediabetes,"numbness,tingling,feet,hands,fatigue,infections,blurred vision,weight loss,thirst,hunger,urination,sores","Children's Center,Pediatric and Adolescent Medicine,General Internal Medicine,Endocrinology"
Morton's neuroma,"tingling,numbness,your,toes,pain,ball of your foot,into,your,toes","Physical Medicine and Rehabilitation,Sports Medicine,Orthopedic Surgery"
Type 1 diabetes,"feeling,irritable,other mood changes,thirsty than usual,blurry vision,weight,inating,tired,weak,hungry",Endocrinology
Infertility,,"Obstetrics and Gynecology,Urology,Endocrinology"
Pancreatic cysts,"weight loss,nausea,vomiting,abdominal,back","Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Cold urticaria,"swelling,tongue,swelling,hands,swelling,lips,chy welts (,hives,skin,cold,response,ana,racing,swelling,shock,reaction,skin",Allergic Diseases
Hydrocephalus,,"Neurology,Children's Center,Pediatric Neurosurgery,Neurosurgery,Pediatric and Adolescent Medicine"
Sprained ankle,"foot,tenderness,ankle,swelling,popping sensation,br,uising,instability,ankle,of motion","Physical Medicine and Rehabilitation,Sports Medicine"
Atrial septal defect (ASD),"fatigue,swelling,feet,belly,irregular heartbeats,shortness","Children's Center,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric and Adolescent Medicine,Pediatric Cardiology"
Meralgia paresthetica,"pain,numbness,pain",Physical Medicine and Rehabilitation
Corticobasal degeneration (corticobasal syndrome),"ing speech,stiffness,abnormal posture,hand,clenched fist,difficulty,muscle jerks,difficulty moving,abnormal eye","Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology"
Cleft lip and cleft palate,"split,roof of the mouth,appearance of the face,nose,split,lip,lip,extends from the lip,upper gum and palate,bottom of the nose,split,lip,roof of the mouth,palate,one,both sides of the face,ear,infections,nasal,speaking voice,feeding,s","Otolaryngology (ENT)/Head and Neck Surgery,Children's Center,Oral and Maxillofacial Surgery,Pediatric Otolaryngology,Cleft and Craniofacial Clinic,Plastic and Reconstructive Surgery,Pediatric and Adolescent Medicine"
Female infertility,,Obstetrics and Gynecology
Intracranial hematoma,"pupil size,headache,unconsciousness,vomiting,confusion,lethargy,speech loss of movement,paralysis,opposite side of the body,head,di,zziness,seizures,drowsiness,loss of consciousness","Neurology,Neurosurgery"
Pulmonary edema,,"Cardiovascular Medicine,Cardiovascular Surgery"
Colon cancer,"abdominal,cr,pain,rectal,bleeding,blood,stool,diarrhea,consti,pation,bow,weakness,fatigue,weight loss","Radiation Oncology,Laboratory Medicine and Pathology,General Surgery,Proton Beam Therapy Program,Oncology (Medical),Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Creutzfeldt,"incoordination,difficulty speaking,blurred vision,blindness,ins,om,nia,jerky movements,difficulty,swallowing,impaired thinking,memory loss,personality changes",Neurology
Multiple sclerosis,"central,les,numbness,pain,tingling,electric - shock,neck,bending the neck,fatigue,tingling,pain,parts,body,double vision,numbness,weakness,body,legs,trunk,blur,ry vision,sl,ur,red,myelin damage,lack of coordination,unsteady,di,zziness,my,elin damage,loss of vision,pain","Physical Medicine and Rehabilitation,Neurology,Children's Center,Laboratory Medicine and Pathology,Neurosurgery,Spinal Cord Injury Rehabilitation Program,Radiology,Pediatric Rehabilitation,Pediatric and Adolescent Medicine"
Costochondritis,"s,neezing,chest,arms,shoulders,rib,left side of your breastbone","Physical Medicine and Rehabilitation,Pain Rehabilitation Center,Pain Medicine"
Spinal cord tumor,"heat,cold,pain,your,arms,legs,falls,loss of,bowel,bladder function,back,pain,back,other parts of,body,different parts of your body","Physical Medicine and Rehabilitation,Neurology,Orthopedic Oncology in Minnesota,Radiation Oncology,Orthopedic Surgery,Pediatric Neurosurgery,Neurosurgery,Proton Beam Therapy Program,Spine Care,Spinal Cord Injury Rehabilitation Program,Oncology (Medical),Radiology,Pediatric Rehabilitation"
Lobular carcinoma in situ (LCIS),,"Breast and Melanoma Surgical Oncology,Breast Clinic"
Heart arrhythmia,"shortness of breath,sweating,chest,pain,fatigue,faint,fainting,fluttering in the chest,lightheadedness,dizziness,heartbeat,anxiety","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Depression (major depressive disorder),"back,pain,headaches,agitation,restlessness,appetite,weight loss,cravings for food,weight,ins,omnia,angry,ir,tear,emptiness,hopelessness,loss of interest,pleasure,suicide",Psychiatry and Psychology
Rectal cancer,"weight loss,bow,weakness,fatigue,bow,dia,consti,pation,bow,movements,blood,stool,stool,abdominal,pain","Palliative Care in Minnesota,Radiation Oncology,Laboratory Medicine and Pathology,Proton Beam Therapy Program,Oncology (Medical),Colon and Rectal Surgery,Gastroenterology and Hepatology"
Gestational diabetes,,"Obstetrics and Gynecology,Endocrinology"
Tachycardia,"shortness of breath,chest,pain,flop,ping in the,chest,fainting,sync,lightheadedness","Cardiovascular Medicine,Cardiovascular Surgery"
Psoriatic arthritis,"swollen,fingers,ps,arthritis,swelling,fingers,toes,eye,uveitis,eye,redness,blur,uveitis,lower back,sp,ondylitis,sp,ondylitis,inflammation,between,vertebrae of your spine,joints,your spine,pelvis,nails,dent,foot,ps,arthritis,pain,points,tendons and ligaments,attach,your,bones,back of your heel,achilles,sole of your foot","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Rheumatology,Orthopedic Surgery,Radiology"
De Quervain tenosynovitis,"thumb,pain,near the base of the thumb,thumb,wrist,swelling,base of the thumb",Physical Medicine and Rehabilitation
Gaucher disease,"ga,ucher,br,nose,abdominal,liver,sp,leen,abdomen,skeletal,ga","Physical Medicine and Rehabilitation,Children's Center,Clinical Genomics,Neurosurgery,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Carcinoma of unknown primary,"fever,consti,pation,diarrhea,pain,lump,through,skin,cough,weight,ur,night sweats","Radiation Oncology,Oncology (Medical)"
Cushing syndrome,,"Radiation Oncology,Laboratory Medicine and Pathology,Neurosurgery,Oncology (Medical),Radiology,Endocrine Surgery,Brain Tumor Program,Endocrinology"
Type 1 diabetes in children,"fatigue,hunger,thirst,fruity - smelling breath,weight loss,irritability,behavior changes","Children's Center,Pediatric and Adolescent Medicine,Pediatric Diabetes Program in Minnesota,Endocrinology"
Ovarian cancer,"fatigue,abdominal,b,swelling,back,pain,var,fallopian,uterus,cervix,va,va,ginal,feeling,full,discomfort,pelvic area,bow,consti,pation,weight loss","General Surgery,Obstetrics and Gynecology,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology"
Eye melanoma,"loss,vision,dark spot,the iris,change in the shape,dark circle,center of your eye,flashes,specks of dust,vision,blurry vision,one eye","Ophthalmology,Radiation Oncology,Proton Beam Therapy Program"
Morphea,"arms,legs,forehead,scalp,chest,back,center",Dermatology
Desmoplastic small round cell tumors,"urinating,swelling,abdomen,con,sti,pation,abdominal,pain","Pediatric Hematology/Oncology in Minnesota,Radiation Oncology,General Surgery,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Foot drop,,Physical Medicine and Rehabilitation
Neurofibromatosis,,"Otolaryngology (ENT)/Head and Neck Surgery,Physical Medicine and Rehabilitation,Neurology,Children's Center,Clinical Genomics,Orthopedic Surgery,Radiation Oncology,Cleft and Craniofacial Clinic,Neurosurgery,Pediatric and Adolescent Medicine,Dermatology,Oncology (Medical),Radiology,Ophthalmology,Neurofibromatosis Type 2 Clinic,Brain Tumor Program"
Fecal incontinence,"dia,con,pati","Physical Medicine and Rehabilitation,Obstetrics and Gynecology,Pediatric Surgery,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Seizures,"loss of consciousness,awareness,tro,jerking movements,arms,legs,confusion,fear,anxiety,deja vu,staring spell","Neurology,Children's Center,Pediatric Neurosurgery,Neurosurgery,Radiology,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Gout,"go,pain,swelling,gout,joint,big,pain,joint,discomfort,attacks,go,go,to move,joints,joint,gout,big,wrists,pain,go,inflammation,joint,joints","Physical Medicine and Rehabilitation,Rheumatology,Radiology"
Teen depression,,"Children's Center,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Heart attack,"heartburn,ind,igestion,shortness of breath,cold,sweat,fatigue,lightheadedness,di,zziness,chest,pain,pain,discomfort,shoulder,arm,back,neck,,jaw,,teeth,upper belly,nausea","Extracorporeal Membrane Oxygenation (ECMO) Program,Cardiovascular Medicine,Cardiovascular Surgery"
Broken arm,"bent,arm,wrist,arm,palm,swelling,br,uising","Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Sun allergy,"light eruption,rash,parts,body,front of the neck,chest,rash,b,it,flushing,light,eruption,chest,light,eruption,chest,blisters,hives",Dermatology
Small bowel prolapse (enterocele),"pelvic,pressure,pain,pulling sensation,pelvis,s,bulge,tissue,vagina,back,pain,vaginal,discomfort,d,ys,pareunia","Obstetrics and Gynecology,Urology"
Nearsightedness,"unaware,blink,squint,eyelids,headache,eyestrain,rub,eyes,blurry vision,squint",Ophthalmology
Pediatric brain tumors,"trouble,headache,loss of appetite,feeding,hearing problems,abnormal,movement,trouble,soft spot,skull,irritability memory problems,vision,seizures,personality,behavior changes,increased pressure,head,weakness,dr,ooping on one,side on the face,nausea,vomiting,weakness,loss of sensation,arm,leg","Physical Medicine and Rehabilitation,Pediatric Hematology/Oncology in Minnesota,Neurology,Children's Center,Radiation Oncology,Pediatric Neurosurgery,Neurosurgery,Proton Beam Therapy Program,Pediatric Rehabilitation,Brain Tumor Program,Pediatric and Adolescent Medicine"
Swollen lymph nodes,"fever,tenderness,pain,l,ymph nodes,swelling,lymph nodes,cancer,sore,fever,respiratory,infection,swelling,l,ym,lupus,r,he,arthritis,night,s",Lung Cancer Program
Rheumatoid arthritis,"joint,stiffness,ina,ct,ivity,salivary glands,eyes,fever,loss of appetite skin,heart,bone marrow,kidney,swollen,joints,lungs","Physical Medicine and Rehabilitation,Rheumatology,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Achilles tendinitis,"achilles tendinitis,achilles tendinitis,achilles,calf muscles,back of the lower leg,achilles tendinitis","Physical Medicine and Rehabilitation,Sports Medicine"
Postherpetic neuralgia,"it,ching,neural,gia,it,chy,numb,touch of clothing,pain,shin,rash,pain","Physical Medicine and Rehabilitation,Neurology,Pain Medicine"
Lip cancer,"sore,lip,disco,lor,ation,lip,pain,numbness,lips,skin,the mouth","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,Head and Neck Cancer Center,Oncology (Medical),Dermatology,Cancer Care at Mayo Clinic,Plastic and Reconstructive Surgery"
Pericardial effusion,"chest,behind the breastbone,left side of the chest chest,fullness,shortness of breath,difficulty breathing,d,ys,pnea,discomfort,lightheadedness,swelling,abdomen,legs","Cardiovascular Medicine,Cardiovascular Surgery"
Hidradenitis suppurativa,"lump,under,skin,bumps,sweat,glands,skin,armpit,groin,butt,breasts,bumps,sore","Colon and Rectal Surgery,Plastic and Reconstructive Surgery,Dermatology"
Broken collarbone,"bulge,near,your shoulder,crackling sound,to move,shoulder,stiffness,inability to move your,shoulder,pain,shoulder,move,arm,collarbone,tenderness","Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Impacted wisdom teeth,"swollen,gums,tender,bleeding gums,difficulty opening your mouth,bad breath,unpleasant taste,mouth,jaw,pain,swelling,jaw",Oral and Maxillofacial Surgery
Colon polyps,"iron deficiency,bleeding,bleeding,iron deficiency,tired,short of breath,red streaks,rec,colon,colon,amp,abdominal,con,sti,pation,dia,rrhea,colon","Colon and Rectal Surgery,Gastroenterology and Hepatology,Pediatric Surgery"
Peyronie's disease,"penis,erect,ind,pe,onie ',disease,plaque,plaque,up,penis,pe,yronie ' s disease,erectile dysfunction,pe,e,penis,shorter","Surgery,Urology,Men's Health Center"
Raynaud's disease,"color changes,cold,cold,fingers,toes,prickly feeling,pain,stress relief,raynaud ' s disease,skin,cold,numb","Rheumatology,Vascular centers,Cardiovascular Medicine,Cardiovascular Surgery"
Ruptured eardrum (perforated eardrum),"ear,pain,drainage,ear,hearing loss,ringing,ear,tin,ni,sensation,vertigo,nausea,vomiting,vertigo",Otolaryngology (ENT)/Head and Neck Surgery
Social anxiety disorder (social phobia),"anxious,physical symptoms,trembling,shaky voice,embarrassment,anxiety,feared activity,fear,anxiety,flaws",Psychiatry and Psychology
Gastroesophageal reflux disease (GERD),"lump,your,throat,d,pha,asthma,chest,cough,abdominal,chest,pain,inflammation,vocal cords,la,ryngitis","Family Medicine,Thoracic Surgery,Bariatric Center in Florida,Pediatric Surgery,Gastroenterology and Hepatology"
Ear infection (middle ear),,Otolaryngology (ENT)/Head and Neck Surgery
Septic arthritis,,"Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Hip labral tear,"hip joint,pain,hip,stiffness,limited,of motion,hip joint","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Hamstring injury,,"Physical Medicine and Rehabilitation,Pediatric Rehabilitation"
Atypical hyperplasia of the breast,,"Breast and Melanoma Surgical Oncology,Breast Clinic"
Bone spurs,"hip,painful,pain,hip,os,hip,spinal,spinal,weakness,numbness,hip,hip,hip,deterioration,ila,knee,painful,spine",Orthopedic Surgery
Broken ankle,"deformity difficulty,pain,tenderness,swelling,bruising,pain",Orthopedic Surgery
Primary progressive aphasia,,"Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology"
